tipo,Sale_id,Weekday,product_id,Count,Department,Product_category
999,171175,Thursday,2840004324.0,1,IMPULSE MERCHANDISE,804.0
33,136704,Friday,7033072262.0,1,PERSONAL CARE,1403.0
37,146456,Sunday,4312.0,1,PRODUCE,5703.0
36,144414,Sunday,1480064532.0,1,DSD GROCERY,4976.0
42,13371,Sunday,63347232258.0,1,PHARMACY OTC,4601.0
33,189367,Sunday,68113107862.0,1,BAKERY,5017.0
7,3912,Friday,22620700000.0,1,MEAT - FRESH & FROZEN,1903.0
40,94015,Saturday,68113107785.0,1,BEAUTY,3907.0
8,49851,Saturday,1070080427.0,1,IMPULSE MERCHANDISE,115.0
39,160447,Tuesday,4000049087.0,1,IMPULSE MERCHANDISE,115.0
40,86324,Thursday,3500039373.0,1,HOUSEHOLD CHEMICALS/SUPP,2070.0
999,175816,Friday,7279903542.0,1,IMPULSE MERCHANDISE,125.0
7,91576,Friday,22456500000.0,1,SERVICE DELI,7003.0
40,93666,Saturday,4687856442.0,1,LAWN AND GARDEN,4022.0
38,49948,Saturday,7874214420.0,1,DAIRY,1358.0
40,167975,Thursday,3760000001.0,1,GROCERY DRY GOODS,2952.0
36,189914,Sunday,3500055500.0,1,PERSONAL CARE,401.0
40,20624,Monday,7874201601.0,1,DSD GROCERY,4676.0
39,40347,Thursday,2529300136.0,1,DAIRY,1511.0
40,57156,Sunday,30573016951.0,1,PHARMACY OTC,2005.0
32,139007,Saturday,72201100004.0,1,BOOKS AND MAGAZINES,777.0
37,24587,Monday,5210037145.0,1,GROCERY DRY GOODS,3002.0
39,64169,Monday,4155419704.0,1,BEAUTY,2235.0
40,185615,Sunday,3338366000.0,1,PRODUCE,7702.0
37,60923,Sunday,60538871461.0,1,DAIRY,9101.0
37,106189,Sunday,4300002222.0,1,DSD GROCERY,4631.0
999,12316,Saturday,4116701763.0,1,PHARMACY OTC,3765.0
9,19325,Sunday,87516001458.0,1,HOME MANAGEMENT,5406.0
37,42551,Thursday,3338311502.0,1,PRODUCE,702.0
3,43792,Friday,68113163351.0,2,FINANCIAL SERVICES,275.0
40,52385,Saturday,8000000674.0,1,GROCERY DRY GOODS,2901.0
25,115166,Tuesday,880632365904.0,1,LADIESWEAR,313.0
15,128824,Thursday,1117937435.0,1,CELEBRATION,149.0
38,27434,Tuesday,3890002919.0,2,GROCERY DRY GOODS,2764.0
39,149243,Sunday,4460001204.0,1,HOUSEHOLD CHEMICALS/SUPP,52.0
42,5816,Friday,4748545001.0,1,HOME DECOR,5545.0
40,143744,Sunday,8768400107.0,1,DSD GROCERY,4624.0
40,58363,Sunday,4693.0,1,PRODUCE,4450.0
40,54036,Saturday,1820005989.0,1,"LIQUOR,WINE,BEER",113.0
40,139170,Saturday,2310028196.0,1,PETS AND SUPPLIES,630.0
39,17519,Sunday,7778201357.0,2,PRE PACKED DELI,7303.0
9,96085,Saturday,2471930943.0,2,HORTICULTURE AND ACCESS,8255.0
36,23269,Monday,3400000843.0,1,IMPULSE MERCHANDISE,135.0
39,164489,Wednesday,4920090294.0,1,GROCERY DRY GOODS,4591.0
40,124315,Wednesday,7874204880.0,1,HOUSEHOLD PAPER GOODS,5550.0
36,42124,Thursday,7962507276.0,1,BEAUTY,5020.0
36,169885,Thursday,1700012029.0,1,PERSONAL CARE,3180.0
8,46704,Friday,3800059099.0,2,IMPULSE MERCHANDISE,5.0
40,126080,Thursday,7874203454.0,1,HOUSEHOLD CHEMICALS/SUPP,8599.0
18,111222,Monday,84325881483.0,1,TOYS,5312.0
5,6655,Saturday,7867813505.0,1,CELEBRATION,112.0
39,60035,Sunday,20966500000.0,1,SERVICE DELI,7010.0
8,162580,Wednesday,4740011018.0,1,PERSONAL CARE,1403.0
39,86755,Thursday,4155425926.0,1,BEAUTY,6820.0
40,81001,Wednesday,7539100470.0,1,SEAFOOD,1026.0
40,66649,Monday,7874221205.0,1,GROCERY DRY GOODS,2764.0
33,182816,Saturday,4011.0,1,PRODUCE,5501.0
8,31588,Wednesday,7874205776.0,1,PRODUCE,33.0
40,97219,Saturday,1073606192.0,1,OFFICE SUPPLIES,3711.0
40,138205,Saturday,81832601192.0,1,HOME DECOR,2523.0
39,62979,Sunday,2889330100.0,1,AUTOMOTIVE,2110.0
40,63406,Monday,7874235296.0,3,GROCERY DRY GOODS,4402.0
40,8361,Saturday,4667500084.0,2,DAIRY,1356.0
24,82374,Thursday,3400012413.0,1,GROCERY DRY GOODS,2500.0
40,17978,Sunday,31074201299.0,1,IMPULSE MERCHANDISE,338.0
40,83968,Thursday,68113131265.0,1,PHARMACY OTC,951.0
39,1439,Friday,2580002622.0,1,FROZEN FOODS,1904.0
37,188329,Sunday,5450019322.0,1,PRE PACKED DELI,7508.0
39,73791,Tuesday,4280011520.0,1,FROZEN FOODS,1951.0
28,133853,Friday,7316199103.0,1,BATH AND SHOWER,4907.0
39,126029,Thursday,68113177922.0,1,PHARMACY OTC,2206.0
37,31210,Tuesday,84873700331.0,3,DSD GROCERY,3863.0
40,79350,Wednesday,4022.0,1,PRODUCE,2005.0
40,47979,Friday,5210002735.0,1,GROCERY DRY GOODS,4252.0
37,190014,Sunday,2211007980.0,1,IMPULSE MERCHANDISE,135.0
36,73762,Tuesday,84105800548.0,2,PERSONAL CARE,9114.0
39,89359,Friday,4900005015.0,1,DSD GROCERY,9570.0
39,98777,Saturday,7871545281.0,1,BRAS & SHAPEWEAR,2401.0
40,10924,Saturday,1117932351.0,1,CELEBRATION,136.0
39,17594,Sunday,3663200991.0,1,DAIRY,1443.0
9,161584,Wednesday,3470798509.0,1,ELECTRONICS,2805.0
